trType,posX,posY,posZ,slopeXZ,slopeYZ
1,9430.4,81700.3,34867,0.0121,-0.1523
2,9563.4,82055.9,34867,0.1767,0.2785
2,9428.3,81926.5,34867,0.0146,0.1165
3,9311.7,82415,37448,-0.0324,0.1755
2,9008.1,82248.3,34867,-0.4766,0.4927
2,8813.9,81460.5,37448,-0.1648,-0.1025
2,8365.4,80309.3,36149,-0.4776,-0.7018
3,10961.2,83073.5,41319,0.2257,0.173
3,10086.8,83078.2,40034,0.1048,0.1993
3,8735.7,82947,41319,-0.0872,0.1716
6,9047.6,81608.3,34867,-0.4392,-0.2712
5,9650,82152.6,33552,-0.4745,-0.7078
3,10219,83330.2,41319,0.1164,0.1912
